date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:45	75/75	---MCZ	200	added ('OK')	text/plain	date:Fri,%2019%20Oct%202018%2010:37:45%20GMT	https://poker.progressionstudios.com/robots.txt		(from )
16:07:45	117100/117100	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2010:37:22%20GMT	https://poker.progressionstudios.com/	C:/Users/gurke/Desktop/poker/poker%20final/poker.progressionstudios.com/index.html	(from )
16:07:45	42/42	---MC-	405	error ('Not%20Allowed')	text/plain	date:Fri,%2019%20Oct%202018%2010:37:46%20GMT	https://poker.progressionstudios.com/xmlrpc.php	C:/Users/gurke/Desktop/poker/poker%20final/poker.progressionstudios.com/xmlrpc.php	(from https://poker.progressionstudios.com/)
16:07:46	702/702	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e56e29c104f99018bd78778f34efebfc%22	https://poker.progressionstudios.com/comments/feed/	C:/Users/gurke/Desktop/poker/poker%20final/poker.progressionstudios.com/comments/feed/index.html	(from https://poker.progressionstudios.com/)
16:07:46	15237/15237	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22769f245030122af9351ceefd318dd5f6%22	https://poker.progressionstudios.com/feed/	C:/Users/gurke/Desktop/poker/poker%20final/poker.progressionstudios.com/feed/index.html	(from https://poker.progressionstudios.com/)
16:07:46	1743/1743	---MCZ	200	added ('OK')	text/css	etag:W/%225b57a2a4-6cf%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from https://poker.progressionstudios.com/)
16:07:47	16615/16615	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ce06c-40e7%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.4.3	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutcd45.css	(from https://poker.progressionstudios.com/)
16:07:47	6818/6818	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ce06c-1aa2%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.4.3	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreencd45.css	(from https://poker.progressionstudios.com/)
16:07:47	62425/62425	---MCZ	200	added ('OK')	text/css	etag:W/%225b3ce06c-f3d9%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.3	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/woocommerce/assets/css/woocommercecd45.css	(from https://poker.progressionstudios.com/)
16:07:47	1710/1710	---MCZ	200	added ('OK')	text/css	etag:W/%225a8b3c87-6ae%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/css/progression_studios_custom_styles.css?ver=4.9.8	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/css/progression_studios_custom_styles5010.css	(from https://poker.progressionstudios.com/)
16:07:48	180311/180311	---MCZ	200	added ('OK')	text/css	etag:W/%225a8b3c7d-2c057%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/style.css?ver=4.9.8	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/style5010.css	(from https://poker.progressionstudios.com/)
16:07:48	18587/18587	---M--	200	added ('OK')	image/jpeg	etag:%225a8b3c89-489b%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/images/header-bg.jpg	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/images/header-bg.jpg	(from https://poker.progressionstudios.com/)
16:07:49	52369/52369	---M--	200	added ('OK')	image/jpeg	etag:%225a8b3c87-cc91%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/images/page-title.jpg	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/themes/poker-dice-progression/images/page-title.jpg	(from https://poker.progressionstudios.com/)
16:07:49	10670/10670	---MCZ	200	added ('OK')	text/css	etag:W/%225b57a2a6-29ae%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.6.0	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minaf6c.css	(from https://poker.progressionstudios.com/)
16:07:49	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225b57a2a6-7918%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://poker.progressionstudios.com/)
16:07:49	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%225b57a2a5-4824%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.1.4	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/lib/animations/animations.min6b25.css	(from https://poker.progressionstudios.com/)
16:07:50	82363/82363	---MCZ	200	added ('OK')	text/css	etag:W/%225b57a2a6-141bb%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.1.4	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/plugins/elementor/assets/css/frontend.min6b25.css	(from https://poker.progressionstudios.com/)
16:07:50	26844/26844	---MCZ	200	added ('OK')	text/css	etag:W/%225b57bb52-68dc%22	https://j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/uploads/elementor/css/post-8.css?ver=1532476242	C:/Users/gurke/Desktop/poker/poker%20final/j66qd6zg9dfgyt4c-zippykid.netdna-ssl.com/wp-content/uploads/elementor/css/post-864f8.css	(from https://poker.progressionstudios.com/)
